year,SA2_CODE21,SA2_NAME21,SA3_CODE21,SA3_NAME21,SA4_CODE21,SA4_NAME21,GCC_NAME21,STE_NAME21,population,LIRSD,LIRSD_PC2,WLIRSD,WLIRSD_PC2,IRSD,IRSAD,IER,IEO
2006,101021007,Braidwood,10102,Queanbeyan,101,Capital Region,Rest of NSW,New South Wales,3123.4547973999997,995.8756592764886,1083.3241759317502,994.9030140408368,1088.4431463059095,978.8238322472489,1013.6343406518948,1009.1511211347998,1032.8193602940098
2006,101021008,Karabar,10102,Queanbeyan,101,Capital Region,Rest of NSW,New South Wales,8890.113607700001,963.9635135767649,1039.148608056169,964.5069051943251,1051.0593106528477,973.6913994698646,974.7487350760514,987.7166945208432,948.9544686589298
2006,101021009,Queanbeyan,10102,Queanbeyan,101,Capital Region,Rest of NSW,New South Wales,9456.3392797,930.9491571000804,1017.4321712962202,932.4955573980205,1026.2977309807677,979.2191413039134,978.1037566898774,961.3407871036426,978.3980321820379
2006,101021010,Queanbeyan - East,10102,Queanbeyan,101,Capital Region,Rest of NSW,New South Wales,4371.9464048,993.9132577718891,1011.1402726731947,995.5794564889521,1029.493858759566,1018.5667239031314,1012.0519925450317,981.9081447720157,1023.1542457792839
2006,101021012,Queanbeyan West - Jerrabomberra,10102,Queanbeyan,101,Capital Region,Rest of NSW,New South Wales,11780.8863923,1115.2582332237992,993.5497006170368,1116.1724053826279,1013.9500180912497,1110.9597473554038,1098.9439620376752,1119.6053669942755,1071.0584055859983
2006,101021610,Googong,10102,Queanbeyan,101,Capital Region,Rest of NSW,New South Wales,75.25715539999999,1171.026454584977,959.6782158346613,1174.2266285924793,981.8952586244743,1142,1141,1200,1068
2006,101021611,Queanbeyan Surrounds,10102,Queanbeyan,101,Capital Region,Rest of NSW,New South Wales,11892.3779739,1124.7709753101115,1001.2410131775891,1125.3771929709492,1017.2671696050636,1102.8464941255193,1103.7248816166104,1126.402341522795,1092.7373761629256
2006,101031013,Bombala,10103,Snowy Mountains,101,Capital Region,Rest of NSW,New South Wales,2551.4365474,911.7489469492624,1082.8772071944918,910.936909832513,1073.8442678503586,934.2108254104168,978.0548982735979,983.924540666745,986.1895458783956
2006,101031014,Cooma,10103,Snowy Mountains,101,Capital Region,Rest of NSW,New South Wales,6855.9856976,938.603216091981,1037.699420433416,940.6914302501455,1047.0340925196217,953.6304604297521,976.6210153884298,952.5419126280991,945.7827627272727
2006,101031015,Cooma Surrounds,10103,Snowy Mountains,101,Capital Region,Rest of NSW,New South Wales,3860.1700963,1043.5724839167744,1048.1883281905864,1043.968741919363,1057.91787049298,975.6137804060384,1028.899739933281,1025.8240569055242,998.9058633581852
2006,101031016,Jindabyne - Berridale,10103,Snowy Mountains,101,Capital Region,Rest of NSW,New South Wales,18029.1930323,1083.712153043013,980.3488061001212,1085.2344962634552,998.5485504172104,1045.4968943810795,1066.5079396625058,1028.9055513000098,1031.5002123044674
2006,101041017,Batemans Bay,10104,South Coast,101,Capital Region,Rest of NSW,New South Wales,6828.3100312,896.6662036027192,1073.138657670818,896.257658828235,1071.1028611479162,921.9426185331462,938.7043064730278,934.3250073364728,900.0294854599422
2006,101041018,Batemans Bay - South,10104,South Coast,101,Capital Region,Rest of NSW,New South Wales,7870.4673051,941.8606298740192,1068.1978983183756,941.0958914016268,1069.710956126545,969.4860070302149,990.3103641713037,977.0806102008925,959.5811427362751
2006,101041019,Bega - Tathra,10104,South Coast,101,Capital Region,Rest of NSW,New South Wales,7713.9838002,911.5530909267277,1061.9248708353007,911.9053448968992,1066.815782183832,938.1684460089214,964.9257372743465,954.5353516077842,931.2786997541515
2006,101041020,Bega-Eden Hinterland,10104,South Coast,101,Capital Region,Rest of NSW,New South Wales,8027.2839056,965.0583489173998,1087.4430509784884,962.5004703420859,1085.7812350782215,942.0207763261077,975.6080159715711,974.6704466038291,970.4555542235395
2006,101041021,Broulee - Tomakin,10104,South Coast,101,Capital Region,Rest of NSW,New South Wales,2619.3551404,917.9004635296367,1098.8963012637325,914.8331762841052,1099.782852638324,949.8518151589878,969.015578487833,952.530044085114,951.0359912910003
2006,101041022,Deua - Wadbilliga,10104,South Coast,101,Capital Region,Rest of NSW,New South Wales,2110.9142150000002,975.377848028377,1072.5857876512785,972.5811423872433,1071.5542642862965,963.9039400204153,998.7872821026989,983.5076484732605,1008.194023072333
2006,101041023,Eden,10104,South Coast,101,Capital Region,Rest of NSW,New South Wales,3446.085119,852.2993618037742,1075.6329845433386,851.6499744429194,1070.4677257198448,892.0558661559736,911.5111734819488,919.3379890903022,881.2374304112816
2006,101041024,Eurobodalla Hinterland,10104,South Coast,101,Capital Region,Rest of NSW,New South Wales,3932.6717804,962.0630809616345,1079.5871105490207,959.880018143413,1079.249843085529,942.417319589442,968.7456572789849,967.1182163828856,953.4198338458498
2006,101041025,Merimbula - Tura Beach,10104,South Coast,101,Capital Region,Rest of NSW,New South Wales,9500.7553902,982.0843681624622,1047.8381831724662,983.042125968427,1057.2485978596703,976.0265330828363,1006.105707236953,983.8270386371302,963.3592570551605
2006,101041026,Moruya - Tuross Head,10104,South Coast,101,Capital Region,Rest of NSW,New South Wales,6238.4326576,892.5957433310813,1096.5280530855996,890.1485017381877,1090.835035100607,935.2762892197755,949.1309922414423,943.3536442155076,951.7859697285161
2006,101041027,Narooma - Bermagui,10104,South Coast,101,Capital Region,Rest of NSW,New South Wales,8275.6354721,915.139274451903,1086.70198028568,914.2256229619235,1084.7412246580548,930.8806134242324,950.2680897308011,948.995600924719,944.8585575218976
2006,101051539,Goulburn,10105,Goulburn - Mulwaree,101,Capital Region,Rest of NSW,New South Wales,21118.787904,880.8890400386211,1053.1580443730063,881.8205057249611,1054.7759299223005,929.0550815774463,943.3855703432108,943.5453841895198,922.0248255287569
2006,101051540,Goulburn Surrounds,10105,Goulburn - Mulwaree,101,Capital Region,Rest of NSW,New South Wales,11248.1687718,1008.4478346049815,1068.6066238914982,1008.6490243855452,1072.3766446925504,973.2955327578774,1018.8991414731552,1029.974159839333,1000.2180872287677
2006,101061541,Yass,10106,Young - Yass,101,Capital Region,Rest of NSW,New South Wales,5502.9821049,970.3004781745839,1064.565617949287,971.3324946794713,1073.1646650476423,969.7144806234733,990.3193990889432,991.0675832942086,957.4936626732874
2006,101061542,Yass Surrounds,10106,Young - Yass,101,Capital Region,Rest of NSW,New South Wales,9318.4344916000009,1095.5964891920223,1017.0573930363795,1096.1862063781498,1032.0721707669202,1040.0533160906293,1065.221347336109,1076.705844516195,1058.820220869295
2006,101061543,Young,10106,Young - Yass,101,Capital Region,Rest of NSW,New South Wales,9444.3246892,906.7216836096387,1045.6317080603676,909.1918257628021,1051.0488265992676,925.1201754149945,956.9905625146712,955.0401699029995,923.3511371200924
2006,101061544,Young Surrounds,10106,Young - Yass,101,Capital Region,Rest of NSW,New South Wales,7519.2125939,950.6962517321833,1070.6977653593028,951.8952204297211,1070.537889114787,939.1423730812998,981.8944899575777,998.1573236747545,987.038238286408
